NORAD_ID,Name
846,OPS 3042
847,SCOUT X-3 DEB
848,COSMOS 37
849,SL-3 R/B
850,OPS 3802
851,OPS 3316
852,ATLAS AGENA D R/B
853,COSMOS 38
854,COSMOS 39
855,COSMOS 40
856,SL-8 R/B
857,SL-8 DEB
858,SYNCOM 3
859,SL-8 DEB
860,SL-8 DEB
861,OPS 2739 (STARFLASH 1B)
862,DELTA 1 R/B
863,SL-6 R/B(1)
864,COSMOS 42
865,SL-6 DEB
866,SL-7 R/B
867,COSMOS 43
868,SL-6 DEB
869,SL-6 R/B(2)
870,EXPLORER 20
871,SCOUT X-4 R/B
872,NIMBUS 1
873,SCOUT X-4 DEB
874,SCOUT X-4 DEB
875,SCOUT X-4 DEB
876,COSMOS 44
877,SL-3 R/B
878,THOR AGENA B R/B
879,OGO 1
880,COSMOS 45
881,SL-3 R/B
882,OPS 3497
883,APOLLO MODEL 2
884,OPS 4262
885,COSMOS 46
886,SL-3 R/B
887,ATLAS AGENA D R/B
888,OPS 3497 DEB
889,EXPLORER 21 (IMP-2)
890,OPS 3333
891,COSMOS 47
892,SL-4 R/B
893,THOR ABLESTAR R/B
894,SL-4 DEB
895,SL-4 DEB
896,SL-4 DEB
897,OPS 5798 (TRANSIT 5B-4)
898,COSMOS 41
899,EXPLORER 22
900,CALSPHERE 1
901,OPS 5798 DEB
902,CALSPHERE 2
903,OPS 5798 DEB
904,VOSKHOD 1
905,SL-4 R/B
906,SL-4 DEB
907,SCOUT X-4 R/B
908,COSMOS 48
909,SL-3 R/B
910,COSMOS 48 DEB
911,OPS 3559
912,OPS 4384
913,COSMOS 49
914,OPS 5063
915,SL-7 R/B
916,OPS 4384 DEB
917,SL-7 DEB
918,OPS 4384 DEB
919,COSMOS 50
920,SL-3 R/B
921,OPS 5434
922,OPS 3062
923,MARINER 3
924,EXPLORER 23
925,OPS 3062 DEB
926,OPS 3062 DEB
927,OPS 3062 DEB
928,SL-3 DEB
929,SL-3 DEB
930,OPS 3360 (ORBIS)
931,EXPLORER 24 (ADI-2)
932,EXPLORER 25 (INJUN 4)
933,SCOUT X-4 R/B
934,SCOUT X-4 DEB
935,SCOUT X-4 DEB
936,SCOUT X-4 DEB
937,SCOUT X-4 DEB
938,MARINER 4
939,SCOUT X-4 DEB
940,SCOUT X-4 DEB
941,SCOUT X-4 DEB
942,ATLAS AGENA D R/B
943,SL-6 R/B
944,SL-6 PLAT
945,ZOND 2
946,OPS 4439
947,COSMOS 51
948,SL-7 R/B
949,TITAN 3A TRANSTAGE R/B
950,SL-7 DEB
951,ATLAS CENTAUR R/B
952,SL-7 DEB
953,THOR ABLESTAR R/B
954,SL-7 DEB
955,SL-7 DEB
956,THOR ABLESTAR DEB
957,SAN MARCO 1
958,SCOUT X-4 R/B
959,OPS 6582 (TRANSIT 5E-5)
960,SCOUT X-4 DEB
961,OPS 3358
962,SCOUT X-4 DEB
963,EXPLORER 26 (EPE-D)
964,OPS 3762
965,OPS 6582 (TRANSIT 5B-5)
966,THOR ABLESTAR DEB
967,THOR ABLESTAR DEB
968,COSMOS 52
969,SL-3 R/B
970,SL-3 DEB
971,SL-3 DEB
972,OPS 3928
973,OPS 7040
974,OPS 7040 DEB
975,OPS 7040 DEB
976,SCOUT X-4 DEB
977,SCOUT X-4 DEB
978,TIROS 9
979,DELTA 1 R/B
980,OPS 4703
981,ATLAS AGENA D R/B
982,OPS 3928 DEB
983,COSMOS 53
984,SL-7 R/B
985,SL-7 DEB
986,SL-7 DEB
987,OSO 2
988,DELTA 1 R/B
989,COSMOS 50 DEB
990,COSMOS 50 DEB
991,COSMOS 50 DEB
992,COSMOS 50 DEB
993,COSMOS 50 DEB
994,COSMOS 50 DEB
995,COSMOS 50 DEB
996,COSMOS 50 DEB
997,COSMOS 50 DEB
998,COSMOS 50 DEB
999,COSMOS 50 DEB
1000,TITAN 3A DEB (TRUSS)
1001,TITAN 3A TRANSTAGE R/B
1002,LES 1
1003,COSMOS 50 DEB
1004,COSMOS 50 DEB
1005,COSMOS 50 DEB
1006,COSMOS 50 DEB
1007,COSMOS 50 DEB
1008,COSMOS 50 DEB
1009,COSMOS 50 DEB
1010,COSMOS 50 DEB
1011,COSMOS 50 DEB
1012,COSMOS 50 DEB
1013,COSMOS 50 DEB
1014,COSMOS 50 DEB
1015,COSMOS 50 DEB
1016,COSMOS 50 DEB
1017,COSMOS 50 DEB
1018,COSMOS 50 DEB
1019,COSMOS 50 DEB
1020,COSMOS 50 DEB
1021,COSMOS 50 DEB
1022,COSMOS 50 DEB
1023,COSMOS 50 DEB
1024,COSMOS 50 DEB
1025,COSMOS 50 DEB
1026,COSMOS 50 DEB
1027,COSMOS 50 DEB
1028,COSMOS 50 DEB
1029,COSMOS 50 DEB
1030,COSMOS 50 DEB
